37744,Kosovo (Dardania)
37745,Kosovo (Dardania)
38128,Kosovo (Dardania)
38129,Kosovo (Dardania)
38138,Kosovo (Dardania)
38139,Kosovo (Dardania)
38643,Kosovo (Dardania)
38649,Kosovo (Dardania)
88213,EMSAT (Mobile Satellite service)
88216,Thuraya (Mobile Satellite service)
90392,Northern Cyprus
99534,South Ossetia
262269,Mayotte
262639,Mayotte
441481,Guernsey
441534,Jersey
441624,Isle of Man
447524,Isle of Man
447624,Isle of Man
447781,Guernsey
447839,Guernsey
447911,Guernsey
447924,Isle of Man
3906698,Vatican City State (Holy See)
6189162,Cocos (Keeling) Islands
6189164,Christmas Island
